length,width,height,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price
168.8,64.1,48.8,130,111,5000,21,27,13495
168.8,64.1,48.8,130,111,5000,21,27,16500
171.2,65.5,52.4,152,154,5000,19,26,16500
176.6,66.2,54.3,109,102,5500,24,30,13950
176.6,66.4,54.3,136,115,5500,18,22,17450
177.3,66.3,53.1,136,110,5500,19,25,15250
192.7,71.4,55.7,136,110,5500,19,25,17710
192.7,71.4,55.7,136,110,5500,19,25,18920
192.7,71.4,55.9,131,140,5500,17,20,23875
178.2,67.9,52,131,160,5500,16,22,
176.8,64.8,54.3,108,101,5800,23,29,16430
176.8,64.8,54.3,108,101,5800,23,29,16925
176.8,64.8,54.3,164,121,4250,21,28,20970
176.8,64.8,54.3,164,121,4250,21,28,21105
189,66.9,55.7,164,121,4250,20,25,24565
189,66.9,55.7,209,182,5400,16,22,30760
193.8,67.9,53.7,209,182,5400,16,22,41315
197,70.9,56.3,209,182,5400,15,20,36880
141.1,60.3,53.2,61,48,5100,47,53,5151
155.9,63.6,52,90,70,5400,38,43,6295
158.8,63.6,52,90,70,5400,38,43,6575
157.3,63.8,50.8,90,68,5500,37,41,5572
157.3,63.8,50.8,90,68,5500,31,38,6377
157.3,63.8,50.8,98,102,5500,24,30,7957
157.3,63.8,50.6,90,68,5500,31,38,6229
157.3,63.8,50.6,90,68,5500,31,38,6692
157.3,63.8,50.6,90,68,5500,31,38,7609
157.3,63.8,50.6,98,102,5500,24,30,8558
174.6,64.6,59.8,122,88,5000,24,30,8921
173.2,66.3,50.2,156,145,5000,19,24,12964
144.6,63.9,50.8,92,58,4800,49,54,6479
144.6,63.9,50.8,92,76,6000,31,38,6855
150,64,52.6,79,60,5500,38,42,5399
150,64,52.6,92,76,6000,30,34,6529
150,64,52.6,92,76,6000,30,34,7129
163.4,64,54.5,92,76,6000,30,34,7295
157.1,63.9,58.3,92,76,6000,30,34,7295
167.5,65.2,53.3,110,86,5800,27,33,7895
167.5,65.2,53.3,110,86,5800,27,33,9095
175.4,65.2,54.1,110,86,5800,27,33,8845
175.4,62.5,54.1,110,86,5800,27,33,10295
175.4,65.2,54.1,110,101,5800,24,28,12945
169.1,66,51,110,100,5500,25,31,10345
170.7,61.8,53.5,111,78,4800,24,29,6785
155.9,63.6,52,90,70,5400,38,43,
155.9,63.6,52,90,70,5400,38,43,
172.6,65.2,51.4,119,90,5000,24,29,11048
199.6,69.6,52.8,258,176,4750,15,19,32250
199.6,69.6,52.8,258,176,4750,15,19,35550
191.7,70.6,47.8,326,262,5000,13,17,36000
159.1,64.2,54.1,91,68,5000,30,31,5195
159.1,64.2,54.1,91,68,5000,31,38,6095
159.1,64.2,54.1,91,68,5000,31,38,6795
166.8,64.2,54.1,91,68,5000,31,38,6695
166.8,64.2,54.1,91,68,5000,31,38,7395
169,65.7,49.6,70,101,6000,17,23,10945
169,65.7,49.6,70,101,6000,17,23,11845
169,65.7,49.6,70,101,6000,17,23,13645
169,65.7,49.6,80,135,6000,16,23,15645
177.8,66.5,53.7,122,84,4800,26,32,8845
177.8,66.5,55.5,122,84,4800,26,32,8495
177.8,66.5,53.7,122,84,4800,26,32,10595
177.8,66.5,55.5,122,84,4800,26,32,10245
177.8,66.5,55.5,122,64,4650,36,42,10795
177.8,66.5,55.5,122,84,4800,26,32,11245
175,66.1,54.4,140,120,5000,19,27,18280
175,66.1,54.4,134,72,4200,31,39,18344
190.9,70.3,56.5,183,123,4350,22,25,25552
190.9,70.3,58.7,183,123,4350,22,25,28248
187.5,70.3,54.9,183,123,4350,22,25,28176
202.6,71.7,56.3,183,123,4350,22,25,31600
202.6,71.7,56.5,234,155,4750,16,18,34184
180.3,70.5,50.8,234,155,4750,16,18,35056
208.1,71.7,56.7,308,184,4500,14,16,40960
199.2,72,55.4,304,184,4500,14,16,45400
178.4,68,54.8,140,175,5000,19,24,16503
157.3,64.4,50.8,92,68,5500,37,41,5389
157.3,64.4,50.8,92,68,5500,31,38,6189
157.3,64.4,50.8,92,68,5500,31,38,6669
157.3,63.8,50.8,98,102,5500,24,30,7689
173,65.4,49.4,110,116,5500,23,30,9959
173,65.4,49.4,122,88,5000,25,32,8499
173.2,66.3,50.2,156,145,5000,19,24,12629
173.2,66.3,50.2,156,145,5000,19,24,14869
173.2,66.3,50.2,156,145,5000,19,24,14489
172.4,65.4,51.6,122,88,5000,25,32,6989
172.4,65.4,51.6,122,88,5000,25,32,8189
172.4,65.4,51.6,110,116,5500,23,30,9279
172.4,65.4,51.6,110,116,5500,23,30,9279
165.3,63.8,54.5,97,69,5200,31,37,5499
165.3,63.8,54.5,103,55,4800,45,50,7099
165.3,63.8,54.5,97,69,5200,31,37,6649
165.3,63.8,54.5,97,69,5200,31,37,6849
