enrollee_id,city_development_index,gender,education_level,experience,training_hours
32403,0.827,Male,Graduate,9,21
9858,0.92,Female,Graduate,5,98
31806,0.624,Male,High School,<1,15
27385,0.827,Male,Masters,11,39
27724,0.92,Male,Graduate,>20,72
217,0.899,Male,Masters,10,12
21465,0.624,,Graduate,<1,11
27302,0.92,Female,Graduate,>20,81
12994,0.878,Male,Graduate,14,2
16287,0.624,Male,Graduate,3,4
10856,0.92,Male,Masters,>20,196
9272,0.698,Male,Graduate,20,51
14249,0.762,Male,Graduate,8,48
24372,0.949,,Masters,4,134
14070,0.92,,Graduate,5,10
24914,0.624,,Graduate,13,125
7865,0.624,Male,Masters,4,4
7463,0.827,Male,Masters,2,31
21514,0.624,,Graduate,6,23
29033,0.624,Male,,2,110
15359,0.92,,Graduate,2,74
16001,0.92,,Graduate,7,44
25202,0.624,Male,Graduate,6,33
5058,0.92,Male,Graduate,1,81
23570,0.722,Male,Graduate,19,19
19139,0.92,Female,Graduate,15,48
9548,0.926,Male,Masters,>20,65
8799,0.92,Male,Graduate,6,46
11113,0.698,,Masters,16,78
19437,0.624,,Graduate,3,105
394,0.754,,Graduate,5,29
7683,0.92,Male,Graduate,5,10
22849,0.743,,,,12
17189,0.624,Male,Graduate,7,43
28610,0.91,Male,Masters,>20,18
25608,0.903,,Masters,17,8
22139,0.92,Male,Graduate,>20,8
19644,0.913,Male,Graduate,>20,145
18517,0.624,,Masters,<1,22
12835,0.897,Male,Masters,>20,9
20178,0.89,Male,Masters,13,20
25855,0.92,Female,Graduate,4,20
32126,0.92,Male,Graduate,16,130
22753,0.924,Male,Graduate,>20,3
18133,0.92,Male,Graduate,1,23
29242,0.624,Male,Masters,5,49
6312,0.92,Male,Graduate,>20,270
113,0.91,Male,Masters,6,23
14685,0.926,Male,Masters,3,35
20768,0.698,Male,High School,2,87
25906,0.939,Male,Graduate,19,37
20142,0.924,Male,Graduate,10,158
25891,0.92,Male,Graduate,>20,8
4742,0.689,,,2,114
2222,0.794,Male,Graduate,14,15
16917,0.92,,High School,1,48
10493,0.624,,Masters,8,40
10418,0.698,Male,,7,91
9766,0.923,Male,Graduate,5,14
1361,0.92,Other,Graduate,5,132
19625,0.925,Male,High School,7,31
20943,0.92,Male,Graduate,>20,8
9561,0.939,,Masters,19,72
4271,0.827,,Graduate,5,74
2094,0.666,Female,Graduate,18,43
16931,0.807,Male,Graduate,15,134
27298,0.624,Male,Graduate,5,18
26493,0.897,Male,Graduate,8,124
30745,0.682,Male,Graduate,8,80
21052,0.698,Male,Graduate,2,9
20723,0.55,Male,Graduate,<1,188
13539,0.74,Male,Graduate,13,182
3214,0.91,Male,Masters,>20,282
16230,0.92,,High School,1,84
25300,0.92,Male,Graduate,7,59
24018,0.55,Male,Graduate,3,116
21833,0.91,Male,Graduate,20,34
30632,0.926,Male,Masters,12,64
4334,0.92,Male,High School,9,19
22271,0.887,Male,Graduate,15,77
28776,0.926,Male,Masters,>20,56
27769,0.624,Male,Masters,2,73
